Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,is_disrupted
T00,F00,C00,PHX,DEN,19920.0,24276.0,4356,2556,968,120,96,05:32 -> 06:44,0
T00,F01,C01,DEN,PHX,41448.0,45804.0,4356,2556,968,120,96,11:30 -> 12:43,0
T00,F02,C01,PHX,DEN,59831.54711316091,64187.54711316091,4356,2556,968,120,96,16:37 -> 17:49,1
T00,F03,C02,DEN,PHX,85552.0,89908.0,4356,2556,968,120,96,23:45 -> 00:58 (+1),0
T01,F04,C03,PHX,ORD,19980.0,30388.0,10408,8608,2313,120,96,05:33 -> 08:26,0
T01,F05,C03,ORD,ATL,33058.0,37450.0,4392,2592,976,120,96,09:10 -> 10:24,0
T01,F06,C04,ATL,ORD,52287.0,56679.0,4392,2592,976,120,96,14:31 -> 15:44,0
T01,F07,C05,ORD,ATL,72915.0,77307.0,4392,2592,976,120,96,20:15 -> 21:28,0
T01,F08,C05,ATL,DFW,87375.22552516287,92658.22552516287,5283,3483,1174,120,96,00:16 -> 01:44,1
T02,F09,C06,SEA,PHX,28281.15328875351,36295.15328875351,8014,6214,1781,120,96,07:51 -> 10:04,1
T02,F10,C07,PHX,DFW,44687.0,50955.0,6268,4468,1393,120,96,12:24 -> 14:09,0
T02,F11,C07,DFW,ATL,56175.0,61458.0,5283,3483,1174,120,96,15:36 -> 17:04,0
T02,F12,C07,ATL,ORD,73394.0,77786.0,4392,2592,976,120,96,20:23 -> 21:36,0
T03,F13,C08,MIA,JFK,20160.0,28066.0,7906,6106,1757,200,160,05:36 -> 07:47,0
T03,F14,C09,JFK,ATL,60046.0,65545.0,5499,3699,1222,200,160,16:40 -> 18:12,0
T03,F15,C10,ATL,JFK,87488.0,92987.0,5499,3699,1222,200,160,00:18 (+1) -> 01:49 (+1),0
T04,F16,C11,DEN,PHX,20820.0,25176.0,4356,2556,968,120,96,05:47 -> 06:59,0
T04,F17,C12,PHX,DEN,52222.0,56578.0,4356,2556,968,120,96,14:30 -> 15:42,0
T04,F18,C13,DEN,PHX,81078.0,85434.0,4356,2556,968,120,96,22:31 -> 23:43,0
T05,F19,C14,ATL,IAH,20700.0,25681.0,4981,3181,1107,200,160,05:45 -> 07:08,0
T05,F20,C15,IAH,CLT,61106.0,67703.0,6597,4797,1466,200,160,16:58 -> 18:48,0
T05,F21,C15,CLT,JFK,75328.0,79243.0,3915,2115,870,200,160,20:55 -> 22:00,0
T06,F22,C16,SFO,LAS,20760.0,23748.0,2988,1188,664,120,96,05:46 -> 06:35,0
T06,F23,C16,LAS,ORD,37629.0,48568.0,10939,9139,2431,120,96,10:27 -> 13:29,0
T06,F24,C17,ORD,DFW,71193.0,76998.0,5805,4005,1290,120,96,19:46 -> 21:23,0
T07,F25,C18,SEA,SFO,20040.0,24958.0,4918,3118,1093,200,160,05:34 -> 06:55,0
T07,F26,C19,SFO,SEA,41330.0,46248.0,4918,3118,1093,200,160,11:28 -> 12:50,0
T07,F27,C20,SEA,DEN,85270.76302751737,92672.76302751737,7402,5602,1645,200,160,23:41 -> 01:44,1
T08,F28,C21,ATL,LAS,20820.0,33438.0,12618,10818,2804,160,128,05:47 -> 09:17,0
T08,F29,C21,LAS,ATL,46562.0,59180.0,12618,10818,2804,160,128,12:56 -> 16:26,0
T09,F30,C22,SEA,LAS,20820.0,27097.0,6277,4477,1395,120,96,05:47 -> 07:31,0
T09,F31,C22,LAS,ORD,37628.0,48567.0,10939,9139,2431,120,96,10:27 -> 13:29,0
T09,F32,C23,ORD,LAS,53213.0,64152.0,10939,9139,2431,120,96,14:46 -> 17:49,0
T09,F33,C23,LAS,DFW,66449.0,74072.0,7623,5823,1694,120,96,18:27 -> 20:34,0
T09,F34,C17,DFW,ORD,79616.0,85421.0,5805,4005,1290,120,96,22:06 -> 23:43,0
T10,F35,C24,ORD,JFK,20280.0,25621.0,5341,3541,1187,200,160,05:38 -> 07:07,0
T10,F36,C25,JFK,DFW,65316.652419463004,75369.652419463,10053,8253,2234,200,160,18:08 -> 20:56,1
T10,F37,C25,DFW,ATL,73973.0,79256.0,5283,3483,1174,200,160,20:32 -> 22:00,0
T11,F38,C26,LAS,SFO,20160.0,23148.0,2988,1188,664,200,160,05:36 -> 06:25,0
T11,F39,C27,SFO,LAS,58311.0,61299.0,2988,1188,664,200,160,16:11 -> 17:01,0
T11,F40,C28,LAS,SFO,76687.0,79675.0,2988,1188,664,200,160,21:18 -> 22:07,0
T12,F41,C29,LAS,ORD,20220.0,31159.0,10939,9139,2431,160,128,05:37 -> 08:39,0
T12,F42,C16,ORD,CLT,56729.0,61067.0,4338,2538,964,160,128,15:45 -> 16:57,0
T12,F43,C30,CLT,PHX,63916.0,76732.0,12816,11016,2848,160,128,17:45 -> 21:18,0
T13,F44,C31,DFW,ATL,19860.0,25143.0,5283,3483,1174,120,96,05:31 -> 06:59,0
T13,F45,C31,ATL,LAS,37557.0,50175.0,12618,10818,2804,120,96,10:25 -> 13:56,0
T13,F46,C27,LAS,ATL,66208.0,78826.0,12618,10818,2804,120,96,18:23 -> 21:53,0
T13,F47,C27,ATL,DEN,80916.0,89583.0,8667,6867,1926,120,96,22:28 -> 00:53 (+1),0
T14,F48,C32,SEA,ORD,20940.0,33364.0,12424,10624,2761,120,96,05:49 -> 09:16,0
T14,F49,C32,ORD,SEA,47029.0,59453.0,12424,10624,2761,120,96,13:03 -> 16:30,0
T14,F50,C33,SEA,DEN,84309.0,91711.0,7402,5602,1645,120,96,23:25 -> 01:28 (+1),0
